Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Fort Stanton,38.8556577309773,-76.9803477069582,Anacostia Community Museum,38.85672843484337,-76.97689924873403,Museum
Fort Stanton,38.8556577309773,-76.9803477069582,Fort Stanton Recreation Center,38.857118,-76.97881600000001,Recreation Center
Fort Stanton,38.8556577309773,-76.9803477069582,Fort Stanton Park,38.85754096203132,-76.97826599027789,Park
Fort Stanton,38.8556577309773,-76.9803477069582,Stanton Road SE & Suitland Parkway SE,38.853278,-76.983289,Intersection
Congress Heights,38.8410773058916,-76.9979499289275,MLK Deli,38.84356,-76.999808,Deli / Bodega
Congress Heights,38.8410773058916,-76.9979499289275,Popeyes Louisiana Kitchen,38.84486018839271,-76.9971092915508,Fried Chicken Joint
Congress Heights,38.8410773058916,-76.9979499289275,Malcolm X and MLK,38.84314386324706,-76.99874412568812,Road
Congress Heights,38.8410773058916,-76.9979499289275,Alabama and MLK Ave SE,38.843196043404184,-76.9987740590992,Intersection
Congress Heights,38.8410773058916,-76.9979499289275,Alberta's Kitchen Domain,38.83923568133621,-76.99470670170291,American Restaurant
Congress Heights,38.8410773058916,-76.9979499289275,Capital City Creamery,38.844296,-76.998362,Ice Cream Shop
Congress Heights,38.8410773058916,-76.9979499289275,Holiday Market,38.839218,-76.993997,Convenience Store
Congress Heights,38.8410773058916,-76.9979499289275,Holiday Liquors,38.839218,-76.993997,Liquor Store
Congress Heights,38.8410773058916,-76.9979499289275,Southeast Tennis Center,38.83854506377792,-76.99459510348079,Tennis Court
Congress Heights,38.8410773058916,-76.9979499289275,Mart Liquors Mjc,38.845341,-76.997656,Liquor Store
Congress Heights,38.8410773058916,-76.9979499289275,Mart  Liquor,38.845341,-76.997656,Liquor Store
Washington Highlands,38.8302374138948,-76.99563620744371,Ferebee Hope Recreation Center,38.832526,-76.995676,Basketball Court
Washington Highlands,38.8302374138948,-76.99563620744371,Chesapeake Big Market,38.828941345214844,-76.99820709228516,Grocery Store
Washington Highlands,38.8302374138948,-76.99563620744371,Lucky,38.82820129394531,-76.99102020263672,Food
Washington Highlands,38.8302374138948,-76.99563620744371,Earls Super Liquors,38.82922606998965,-76.99028101069088,Liquor Store
Washington Highlands,38.8302374138948,-76.99563620744371,Joy's Kitchen,38.828071,-76.990847,Seafood Restaurant
Washington Highlands,38.8302374138948,-76.99563620744371,Lucky's Carry Out,38.828071,-76.990847,Asian Restaurant
Washington Highlands,38.8302374138948,-76.99563620744371,Tiger Market-IGA,38.828071,-76.990847,Grocery Store
Bellevue,38.82695244570971,-77.0092707559789,Domino's Pizza,38.830851,-77.008078,Pizza Place
Bellevue,38.82695244570971,-77.0092707559789,Fort Greble Recreation Center,38.8277452053037,-77.01303899288177,Playground
Bellevue,38.82695244570971,-77.0092707559789,Evan's Shoe Repair,38.82973666419669,-77.00601236747275,Shoe Repair
Bellevue,38.82695244570971,-77.0092707559789,Murry's,38.830783520220315,-77.0079188897113,Grocery Store
Bellevue,38.82695244570971,-77.0092707559789,Ft. Gruble Baseball Field,38.828179,-77.014346,Baseball Field
