X,Y,OBJECTID,GIS_ID,NAME,WEB_URL,LABEL_NAME,DATELASTMODIFIED
-76.9803477069582,38.8556577309773,1,nhood_050,Fort Stanton,http://NeighborhoodAction.dc.gov,Fort Stanton,2003/04/10 00:00:00+00
-76.9979499289275,38.8410773058916,2,nhood_031,Congress Heights,http://NeighborhoodAction.dc.gov,Congress Heights,2003/04/10 00:00:00+00
-76.9956362074437,38.8302374138948,3,nhood_123,Washington Highlands,http://NeighborhoodAction.dc.gov,Washington Highlands,2003/04/10 00:00:00+00
-77.0092707559789,38.8269524457097,4,nhood_008,Bellevue,http://NeighborhoodAction.dc.gov,Bellevue,2003/04/10 00:00:00+00
-76.9676600322525,38.8536880581742,5,nhood_073,Knox Hill/Buena Vista,http://NeighborhoodAction.dc.gov,Knox Hill/Buena Vista,2003/04/10 00:00:00+00
-76.9729023394421,38.8468601320983,6,nhood_111,Shipley,http://NeighborhoodAction.dc.gov,Shipley,2003/04/10 00:00:00+00
-76.9796445653946,38.8475714542599,7,nhood_035,Douglass,http://NeighborhoodAction.dc.gov,Douglass,2003/04/10 00:00:00+00
-76.9739256113186,38.8565542433295,8,nhood_126,Woodland,http://NeighborhoodAction.dc.gov,Woodland,2003/04/10 00:00:00+00
-76.97221326658,38.8540851230322,9,nhood_056,Garfield Heights,http://NeighborhoodAction.dc.gov,Garfield Heights,2003/04/10 00:00:00+00
-77.0006271055175,38.8783844713638,10,nhood_094,Near Southeast,http://NeighborhoodAction.dc.gov,Near Southeast,2003/04/10 00:00:00+00
-76.9984774841303,38.8836207556374,11,nhood_021,Capitol Hill,http://NeighborhoodAction.dc.gov,Capitol Hill,2003/04/10 00:00:00+00
-76.9628184264414,38.8726304066145,12,nhood_038,Dupont Park,http://NeighborhoodAction.dc.gov,Dupont Park,2003/04/10 00:00:00+00
-76.9608472064148,38.8755879053944,13,nhood_120,Twining,http://NeighborhoodAction.dc.gov,Twining,2003/04/10 00:00:00+00
-76.9658036415048,38.8693356530122,14,nhood_107,Randle Highlands,http://NeighborhoodAction.dc.gov,Randle Highlands,2003/04/10 00:00:00+00
-76.9774517782559,38.8691584960639,15,nhood_043,Fairlawn,http://NeighborhoodAction.dc.gov,Fairlawn,2003/04/10 00:00:00+00
-76.9534238619824,38.8695601784991,16,nhood_101,Penn Branch,http://NeighborhoodAction.dc.gov,Penn Branch,2003/04/10 00:00:00+00
-76.9972805056222,38.8592552634915,17,nhood_007,Barry Farm,http://NeighborhoodAction.dc.gov,Barry Farm,2003/04/10 00:00:00+00
-76.9846776384643,38.8631857078806,18,nhood_066,Historic Anacostia,http://NeighborhoodAction.dc.gov,Historic Anacostia,2003/04/10 00:00:00+00
-77.0305860300674,38.9280082897275,19,nhood_030,Columbia Heights,http://NeighborhoodAction.dc.gov,Columbia Heights,2003/04/10 00:00:00+00
-77.0253403750184,38.9098163134705,20,nhood_080,Logan Circle/Shaw,http://NeighborhoodAction.dc.gov,Logan Circle/Shaw,2003/04/10 00:00:00+00
-77.0275501090376,38.9171682954518,21,nhood_023,Cardozo/Shaw,http://NeighborhoodAction.dc.gov,Cardozo/Shaw,2003/04/10 00:00:00+00
-77.0661063841708,38.9433905838663,22,nhood_122,Van Ness,http://NeighborhoodAction.dc.gov,Van Ness,2003/04/10 00:00:00+00
-77.0584616397505,38.9468927156474,23,nhood_045,Forest Hills,http://NeighborhoodAction.dc.gov,Forest Hills,2003/04/10 00:00:00+00
-77.0906774202872,38.9096371277146,24,nhood_059,Georgetown Reservoir,http://NeighborhoodAction.dc.gov,Georgetown Reservoir,2003/04/10 00:00:00+00
-77.0844071318762,38.913247132362,25,nhood_053,Foxhall Village,http://NeighborhoodAction.dc.gov,Foxhall Village,2003/04/10 00:00:00+00
-77.0081280853555,38.9494299423347,26,nhood_051,Fort Totten,http://NeighborhoodAction.dc.gov,Fort Totten,2003/04/10 00:00:00+00
-77.0048035468988,38.9410791875744,27,nhood_104,Pleasant Hill,http://NeighborhoodAction.dc.gov,Pleasant Hill,2003/04/10 00:00:00+00
-76.9385859852472,38.9106787612416,28,nhood_071,Kenilworth,http://NeighborhoodAction.dc.gov,Kenilworth,2003/04/10 00:00:00+00
